フリーソフトウェア,thumb|300px|最近の自由ソフトウェアのオペレーティングシステムの例。いくつかの代表的な自由ソフトウェアを実行している。
プロトコル,プロトコール、複数の者が対象となる事項を確実に実行するための手順について定めたもの。
Garnet OS,ACCESS Systemsが開発・ライセンス提供するPDA用オペレーティングシステム 。旧称Palm OS。
チャット,、インターネットを含むコンピュータネットワーク上のデータ通信回線を利用したリアルタイムコミュニケーションのこと。chatは英語での雑談のことであり、ネットワーク上の□も雑談同様に会話を楽しむための手段である。
Domain Name System,インターネットを使った階層的な分散型データベースシステムである。1983年にInformation Sciences Institute  のポール・モカペトリスとジョン・ポステルにより開発された。
IPアドレス,IPにおいてパケットを送受信する機器を判別するための番号である。
3333,2222222222222
2221dsffff,ssssssssssggsgg
sgsgfdg,ghhhhhhh
sdfsf,ssssssssssggsgg
yuuあさ,ｓｆｆｆｆｆｆｆっふぁああ
